Rk,Score,PtsW,PtsL
1,2-2,2,2
2,4-0,4,0
3,4-2,4,2
4,4-3,4,3
5,4-4,4,4
6,5-2,5,2
7,5-4,5,4
8,5-5,5,5
9,6-4,6,4
10,6-5,6,5
11,7-4,7,4
12,8-2,8,2
13,8-4,8,4
14,8-7,8,7
15,8-8,8,8
16,9-4,9,4
17,9-8,9,8
18,9-9,9,9
19,11-2,11,2
20,11-4,11,4
21,11-5,11,5
22,11-9,11,9
23,11-11,11,11
24,12-2,12,2
25,12-4,12,4
26,12-5,12,5
27,12-11,12,11
28,13-4,13,4
29,13-5,13,5
30,14-4,14,4
31,14-8,14,8
32,15-2,15,2
33,15-4,15,4
34,15-5,15,5
35,15-8,15,8
36,15-11,15,11
37,15-15,15,15
38,16-2,16,2
39,16-4,16,4
40,16-5,16,5
41,17-2,17,2
42,17-4,17,4
43,18-2,18,2
44,18-4,18,4
45,18-5,18,5
46,18-8,18,8
47,18-9,18,9
48,18-11,18,11
49,18-18,18,18
50,19-2,19,2
51,19-4,19,4
52,20-4,20,4
53,20-5,20,5
54,20-11,20,11
55,21-4,21,4
56,21-5,21,5
57,22-2,22,2
58,22-4,22,4
59,22-11,22,11
60,22-22,22,22
61,23-4,23,4
62,23-5,23,5
63,24-4,24,4
64,25-2,25,2
65,25-4,25,4
66,25-5,25,5
67,25-8,25,8
68,25-18,25,18
69,25-25,25,25
70,26-2,26,2
71,26-4,26,4
72,26-5,26,5
73,27-4,27,4
74,27-5,27,5
75,27-8,27,8
76,28-4,28,4
77,28-5,28,5
78,29-2,29,2
79,29-4,29,4
80,29-5,29,5
81,29-8,29,8
82,29-11,29,11
83,30-2,30,2
84,30-4,30,4
85,30-5,30,5
86,31-4,31,4
87,31-11,31,11
88,32-2,32,2
89,32-4,32,4
90,32-5,32,5
91,32-8,32,8
92,32-11,32,11
93,32-12,32,12
94,32-15,32,15
95,32-22,32,22
96,32-26,32,26
97,32-32,32,32
98,33-2,33,2
99,33-4,33,4
100,33-5,33,5
101,33-11,33,11
102,34-4,34,4
103,35-4,35,4
104,35-5,35,5
105,36-2,36,2
106,36-4,36,4
107,36-5,36,5
108,36-8,36,8
109,36-11,36,11
110,36-12,36,12
111,36-23,36,23
112,36-29,36,29
113,36-36,36,36
114,37-4,37,4
115,37-11,37,11
116,38-2,38,2
117,38-4,38,4
118,38-18,38,18
119,39-2,39,2
120,39-4,39,4
121,39-5,39,5
122,39-6,39,6
123,39-8,39,8
124,39-9,39,9
125,39-11,39,11
126,39-12,39,12
127,39-15,39,15
128,39-16,39,16
129,39-18,39,18
130,39-19,39,19
131,39-22,39,22
132,39-25,39,25
133,39-39,39,39
134,40-2,40,2
135,40-4,40,4
136,40-5,40,5
137,40-12,40,12
138,40-19,40,19
139,40-31,40,31
140,40-36,40,36
141,40-40,40,40
142,41-2,41,2
143,41-4,41,4
144,41-5,41,5
145,41-8,41,8
146,41-11,41,11
147,41-12,41,12
148,41-18,41,18
149,41-40,41,40
150,41-41,41,41
151,42-2,42,2
152,42-4,42,4
153,42-5,42,5
154,42-8,42,8
155,42-9,42,9
156,42-11,42,11
157,42-12,42,12
158,42-25,42,25
159,42-42,42,42
160,43-2,43,2
161,43-4,43,4
162,43-5,43,5
163,43-9,43,9
164,43-15,43,15
165,43-25,43,25
166,43-26,43,26
167,43-29,43,29
168,43-30,43,30
169,43-31,43,31
170,43-33,43,33
171,43-36,43,36
172,43-41,43,41
173,43-42,43,42
174,44-2,44,2
175,44-4,44,4
176,44-5,44,5
177,44-8,44,8
178,44-12,44,12
179,44-18,44,18
180,44-19,44,19
181,44-25,44,25
182,44-29,44,29
183,44-32,44,32
184,44-35,44,35
185,44-36,44,36
186,44-39,44,39
187,44-43,44,43
188,44-44,44,44
189,45-4,45,4
190,45-5,45,5
191,45-8,45,8
192,45-9,45,9
193,45-11,45,11
194,45-18,45,18
195,45-36,45,36
196,45-40,45,40
197,45-43,45,43
198,45-45,45,45
199,46-0,46,0
200,46-2,46,2
201,46-4,46,4
202,46-5,46,5
203,46-7,46,7
204,46-8,46,8
205,46-11,46,11
206,46-12,46,12
207,46-15,46,15
208,46-17,46,17
209,46-19,46,19
210,46-20,46,20
211,46-22,46,22
212,46-24,46,24
213,46-26,46,26
214,46-29,46,29
215,46-30,46,30
216,46-32,46,32
217,46-33,46,33
218,46-35,46,35
219,46-37,46,37
220,46-39,46,39
221,46-40,46,40
222,46-41,46,41
223,46-42,46,42
224,46-43,46,43
225,46-44,46,44
226,46-46,46,46
227,47-2,47,2
228,47-4,47,4
229,47-5,47,5
230,47-8,47,8
231,47-9,47,9
232,47-11,47,11
233,47-12,47,12
234,47-15,47,15
235,47-18,47,18
236,47-19,47,19
237,47-20,47,20
238,47-22,47,22
239,47-26,47,26
240,47-29,47,29
241,47-32,47,32
242,47-33,47,33
243,47-35,47,35
244,47-37,47,37
245,47-38,47,38
246,47-39,47,39
247,47-40,47,40
248,47-43,47,43
249,47-44,47,44
250,47-45,47,45
251,47-46,47,46
252,47-47,47,47
253,48-2,48,2
254,48-4,48,4
255,48-5,48,5
256,48-8,48,8
257,48-11,48,11
258,48-12,48,12
259,48-15,48,15
260,48-18,48,18
261,48-36,48,36
262,48-38,48,38
263,48-39,48,39
264,48-42,48,42
265,48-43,48,43
266,48-44,48,44
267,48-48,48,48
268,49-2,49,2
269,49-4,49,4
270,49-5,49,5
271,49-8,49,8
272,49-12,49,12
273,49-18,49,18
274,49-22,49,22
275,49-30,49,30
276,49-32,49,32
277,49-36,49,36
278,49-42,49,42
279,49-43,49,43
280,49-44,49,44
281,49-45,49,45
282,49-46,49,46
283,49-47,49,47
284,49-48,49,48
285,49-49,49,49
286,50-0,50,0
287,50-2,50,2
288,50-3,50,3
289,50-4,50,4
290,50-5,50,5
291,50-6,50,6
292,50-8,50,8
293,50-9,50,9
294,50-11,50,11
295,50-12,50,12
296,50-13,50,13
297,50-15,50,15
298,50-16,50,16
299,50-18,50,18
300,50-20,50,20
301,50-22,50,22
302,50-23,50,23
303,50-25,50,25
304,50-26,50,26
305,50-27,50,27
306,50-29,50,29
307,50-30,50,30
308,50-31,50,31
309,50-32,50,32
310,50-33,50,33
311,50-35,50,35
312,50-36,50,36
313,50-37,50,37
314,50-38,50,38
315,50-39,50,39
316,50-40,50,40
317,50-41,50,41
318,50-42,50,42
319,50-44,50,44
320,50-45,50,45
321,50-46,50,46
322,50-47,50,47
323,50-48,50,48
324,50-49,50,49
325,50-50,50,50
326,51-2,51,2
327,51-4,51,4
328,51-5,51,5
329,51-6,51,6
330,51-8,51,8
331,51-9,51,9
332,51-11,51,11
333,51-12,51,12
334,51-15,51,15
335,51-18,51,18
336,51-19,51,19
337,51-22,51,22
338,51-25,51,25
339,51-30,51,30
340,51-32,51,32
341,51-33,51,33
342,51-36,51,36
343,51-37,51,37
344,51-39,51,39
345,51-40,51,40
346,51-41,51,41
347,51-43,51,43
348,51-44,51,44
349,51-46,51,46
350,51-47,51,47
351,51-49,51,49
352,51-50,51,50
353,51-51,51,51
354,52-2,52,2
355,52-4,52,4
356,52-5,52,5
357,52-6,52,6
358,52-8,52,8
359,52-11,52,11
360,52-12,52,12
361,52-15,52,15
362,52-16,52,16
363,52-18,52,18
364,52-22,52,22
365,52-23,52,23
366,52-26,52,26
367,52-29,52,29
368,52-30,52,30
369,52-32,52,32
370,52-36,52,36
371,52-39,52,39
372,52-40,52,40
373,52-41,52,41
374,52-42,52,42
375,52-43,52,43
